t, x, xd, y, yd
9.887999999999999012e-01,8.292913186301992257e-01,-5.449895651925461548e-01,-3.695744137251072980e-01,1.207394598435172633e-01
1.019699999999999829e+00,8.124695796143722726e-01,-5.436694215563347976e-01,-3.652385896192307246e-01,1.600036679735084011e-01
1.050599999999999978e+00,7.956999614637291218e-01,-5.416299943025409958e-01,-3.596795104810368016e-01,1.999161907359249812e-01
1.081499999999999906e+00,7.790033267425042762e-01,-5.389618741796486923e-01,-3.528769747276191415e-01,2.404884525322897315e-01
1.112399999999999833e+00,7.623975085581663480e-01,-5.357709615519911095e-01,-3.448103819998690756e-01,2.817347907860049960e-01
1.143299999999999983e+00,7.458967972694963144e-01,-5.321811450184185111e-01,-3.354586487833974839e-01,3.236720532053283805e-01
1.174199999999999910e+00,7.295113370500064809e-01,-5.283374711460540052e-01,-3.248001404509978096e-01,3.663189223894147695e-01
1.205099999999999838e+00,7.132464158181474057e-01,-5.244098914492759667e-01,-3.128126297201488937e-01,4.096948609208677095e-01
1.235999999999999766e+00,6.971016293017643362e-01,-5.205976772101429395e-01,-2.994732953721186974e-01,4.538185324804918652e-01
1.266899999999999915e+00,6.810698972271950202e-01,-5.171345895673917781e-01,-2.847587802938766899e-01,4.987055032942404043e-01
1.297799999999999843e+00,6.651363071419325035e-01,-5.142948749841979028e-01,-2.686453349736357410e-01,5.443649584362314497e-01
1.328699999999999770e+00,6.492767597778620337e-01,-5.124001144947389896e-01,-2.511090821755042612e-01,5.907950726359955107e-01
1.359599999999999920e+00,6.334563901183821732e-01,-5.118268734137815246e-01,-2.321264515354178881e-01,6.379765471665252985e-01
1.390499999999999847e+00,6.176277420179436817e-01,-5.130149533623781233e-01,-2.116748504214418791e-01,6.858636543369114325e-01
1.421399999999999775e+00,6.017286837715554171e-01,-5.164758071820100271e-01,-1.897336609961924880e-01,7.343719126411127895e-01
1.452299999999999924e+00,5.856800711111361801e-01,-5.228002925471425533e-01,-1.662856844926138278e-01,7.833612520315211825e-01
1.483199999999999852e+00,5.693831981005716969e-01,-5.326643468738108123e-01,-1.413191933157424418e-01,8.326132484441077786e-01
1.514099999999999779e+00,5.527171330354723189e-01,-5.468302776329931891e-01,-1.148307991608523843e-01,8.818007907754344954e-01
1.544999999999999929e+00,5.355361264662364951e-01,-5.661400713810641472e-01,-8.682939646594284300e-02,9.304485706232752396e-01
1.575899999999999856e+00,5.176674159627515648e-01,-5.914953279643889728e-01,-5.734148295827487529e-02,9.778833936990463105e-01
1.606799999999999784e+00,4.989099535446666067e-01,-6.238161060505865718e-01,-2.641816673103992291e-02,1.023175070632277306e+00
1.637699999999999934e+00,4.790348598689886939e-01,-6.639684007938476684e-01,5.855905645273086491e-03,1.065072394366351816e+00
1.668599999999999861e+00,4.577887591480847007e-01,-7.126481530475170523e-01,3.935170017175924906e-02,1.101945472602456011e+00
1.699499999999999789e+00,4.349015157799913101e-01,-7.702109367824030439e-01,7.388352663904509954e-02,1.131756197614529613e+00
1.730399999999999938e+00,4.101001231092338273e-01,-8.364449876834882946e-01,1.091967282736697742e-01,1.152092122219855685e+00
1.761299999999999866e+00,3.831302772705538207e-01,-9.103065594273521688e-01,1.449579953546069611e-01,1.160310800652305740e+00
1.792199999999999793e+00,3.537860436373402861e-01,-9.896740401241959084e-01,1.807524574632302927e-01,1.153840393815143806e+00
1.823099999999999721e+00,3.219455621044979843e-01,-1.071223612517399726e+00,2.160927335743970390e-01,1.130650408624880532e+00
1.853999999999999870e+00,2.876070325963306917e-01,-1.150556809163099548e+00,2.504444905568205537e-01,1.089830687338169568e+00
1.884899999999999798e+00,2.509155373835420533e-01,-1.222673645049855207e+00,2.832695564046333603e-01,1.032112888143059459e+00
1.915799999999999725e+00,2.121701349392609293e-01,-1.282755520092599300e+00,3.140812584919185357e-01,9.601011480905536910e-01
1.946699999999999875e+00,1.718045296958399248e-01,-1.327043868966677476e+00,3.424998929831659100e-01,8.780328607945768749e-01
1.977599999999999802e+00,1.303431973470852712e-01,-1.353497743046728985e+00,3.682934205732941724e-01,7.910845308951816035e-01
2.008499999999999730e+00,8.834393750249264210e-02,-1.361990885331304302e+00,3.913925367042521697e-01,7.044603450412101342e-01
2.039399999999999658e+00,4.634200863873705334e-02,-1.354029235675433984e+00,4.118784762950993827e-01,6.225899743668462660e-01
2.070299999999999585e+00,4.808176532318644836e-03,-1.332174030345192106e+00,4.299508802466130430e-01,5.486627798964706093e-01
2.101199999999999957e+00,-3.587410255000447745e-02,-1.299418528762251057e+00,4.458871862007244835e-01,4.845364816113841289e-01
2.132099999999999884e+00,-7.541395563661164314e-02,-1.258695719063860574e+00,4.600037270445099247e-01,4.309149518354253305e-01
2.162999999999999812e+00,-1.136061222338064225e-01,-1.212580027149262607e+00,4.726245683668018893e-01,3.876480591888020744e-01
2.193899999999999739e+00,-1.503175578427558279e-01,-1.163161930490456575e+00,4.840599455260491957e-01,3.540384895555102052e-01
2.224799999999999667e+00,-1.854721326914677282e-01,-1.112040193381864661e+00,4.945934392356695630e-01,3.290945580643452884e-01
2.255699999999999594e+00,-2.190361908558319248e-01,-1.060377353926637900e+00,5.044758623712299883e-01,3.117114221587238831e-01
2.286599999999999966e+00,-2.510062749215442590e-01,-1.008979319196048774e+00,5.139237064410854261e-01,3.007871640038122796e-01
2.317499999999999893e+00,-2.813993695502015613e-01,-9.583761406485276080e-01,5.231203626820351005e-01,2.952890417259135813e-01
2.348399999999999821e+00,-3.102455074465292895e-01,-9.088930678861369961e-01,5.322188253697661686e-01,2.942855846137345521e-01
2.379299999999999748e+00,-3.375823683732664393e-01,-8.607082995146948523e-01,5.413450270551526389e-01,2.969572033524627841e-01
2.410199999999999676e+00,-3.634514569943024243e-01,-8.138976386851441980e-01,5.506012906122891293e-01,3.025943676586550501e-01
2.441099999999999604e+00,-3.878954806220427098e-01,-7.684678621816101174e-01,5.600696129619655572e-01,3.105893125610156846e-01
